game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
GNOG,0,4,92.60%,122000,16815
Dead Secret,0,1,81.20%,358000,33248
Vengeful Rites,0,3,93.70%,106000,7590
Black Hole Pool VR,0,2,78.40%,10319,2640
The Great C,0,1,88.50%,32909,7331
Late For Work,0,1,88.50%,22822,2401
Moon VR Video Player,0,4,72.50%,62759,8390
RoboCo,0,3,92.50%,51031,3210
Virtual Rides 3 - Funfair Simulator,4,41,87.80%,358000,19917
Wandering in space VR,0,2,85.50%,52781,4770
Interkosmos 2000,1,1,75%,7488,510
VRocker,0,1,92.50%,14802,2010
Whirligig VR Media Player,6,17,79.70%,68883,21692
Sports Bar VR,0,4,84.10%,1 100 000,79697
Half-Life: Alyx - Final Hours,0,3,95.10%,184000,24270
STAND OUT : VR Battle Royale,0,4,72.90%,774000,47180
ChilloutVR,99,128,83.50%,0,66750
Duck Season PC,2,5,92.10%,110000,14850
Monstrum,3,22,91.20%,1 700 000,150000
Formula Retro Racing - World Tour,0,2,76.90%,4126,390
Lust for Darkness VR: M Edition,0,3,75%,7032,480
Megadimension Neptunia VIIR,2,10,74.50%,749000,31843
Audioshield,0,2,80.60%,2 300 000,156000
Real Pool 3D - Poolians,921,2074,78.90%,0,170000
Ultrawings 2,3,3,77%,46084,2610
Resist,0,1,83.70%,21020,1470
The Mage's Tale,0,2,73.90%,197000,8440
A Chair in a Room : Greenwater,0,1,83.90%,640000,34142
Crisis VRigade,0,2,78.10%,47440,7830
Westworld Awakening,0,1,82.70%,169000,8400
ARK and ADE,0,1,97.30%,24598,2220
Rags to Dishes,0,1,96.80%,52800,3750
MLB Home Run Derby VR,0,2,75%,10368,916
GrowRilla VR,0,2,90.10%,21862,2130
Simple VR Video Player,7,13,72.10%,112000,18111
ZomDay,0,6,85.10%,164000,24360
Pierhead Arcade 2,0,2,84.40%,36652,4050
Vinyl Reality - DJ in VR,0,1,94.10%,77482,5568
Floor Plan 2,1,2,88.90%,30531,1890
XING: The Land Beyond,0,3,90.40%,129000,8770
Apollo 11 VR,1,2,82.90%,302000,34913
Cosmic Sugar VR,0,3,93.80%,0,18244
Cards & Tankards,3,12,93.10%,0,16530
Oathbreakers,0,2,76.70%,10656,900
Visionarium 2 - The Descent,0,0,88.50%,8513,780
Vector 36,0,1,82.60%,170000,11244
Killing Floor: Incursion,0,4,53.10%,817000,50635
Land of Towers,0,1,93.80%,3695,480
The Utility Room,0,1,83.80%,11137,1110
Project LUX,0,1,89.40%,245000,13856
OVR Advanced Settings,2801,3950,96.10%,0,78420
Helicopter Simulator VR 2021 - Rescue Missions,0,1,83.50%,48718,4170
Blasters of the Universe,0,0,86.40%,82505,8012
Out of Ammo,0,2,83%,537000,42656
Sharecare YOU,1,1,83.10%,55734,2490
Pixel Ripped 1995,0,1,98%,68583,4560
"Calm Down, Stalin - VR",0,1,96.80%,10669,1490
The Solus Project,2,4,79.90%,2 300 000,163000
Tethered,0,1,83.20%,231000,13494
The Wizards - Enhanced Edition,0,1,78.30%,549000,37449
Tabletopia,24,85,62.90%,292000,444000
Star Trek: Starfleet Command Gold Edition,0,2,59.60%,36676,5694
BRINK Traveler,0,3,88.60%,24257,3150
Transpose,0,1,90.80%,56754,4323
Maskmaker,1,2,93.90%,82064,6360
I Fetch Rocks,1,3,97.10%,25566,2100
The Maze: Humanity,0,0,97.60%,18766,1230
Blacktop Hoops,4,21,91.30%,0,14520
OVRdrop,12,12,67.40%,242000,23404
Bad boy simulator,1,3,60%,14795,1800
BrVR Backrooms Virtual Reality,0,2,87.10%,6472,1860
Glider Sim,0,3,85.10%,41639,2610
Virtual Fighting Championship (VFC),0,1,74.30%,81565,5587
Gladius | Gladiator VR Sword fighting,1,3,75.90%,119000,12540
Eternity Warriors™ VR,0,4,81.30%,160000,15070
Time Lock VR 1,1,3,73.50%,148000,28005
Industrial Petting,0,2,94.20%,31342,2070
Uberlaufer,0,1,90.20%,27763,1830
Guns'n'Stories: Bulletproof VR,0,4,89.20%,92268,10824
PunjiVR,0,1,79.20%,23350,1590
Disc Golf Valley VR,0,2,67.70%,26399,1860
DMT: Dynamic Music Tesseract,2,3,90.50%,15474,4330
The Morrigan,0,1,87%,99965,7380
Catlateral Damage,1,4,89.50%,559000,86036
Pierhead Arcade,0,2,88.80%,139000,19225
Solar System VR,0,2,74.30%,24792,7350
Acron: Attack of the Squirrels!,0,7,93.60%,38910,2680
Lunar Flight,0,2,81.20%,816000,109000
Tomboy Adventure,1,2,95.80%,13589,1440
The Secret of Retropolis,0,1,94.30%,34763,3720
Interkosmos,0,1,85.40%,37355,10656
Painting VR,0,1,77.30%,17949,1320
Slender: The Arrival,2,15,88%,3 200 000,532000
Curious Cases,0,2,74.70%,60897,12236
Down the Rabbit Hole,1,4,94.20%,157000,11340
3dSen VR,0,2,93.70%,82783,5866
Chupa Chupa VR,0,1,88.70%,24685,3180
RUSH,8,13,82.90%,102000,7671
Egression,0,1,98.30%,22531,1740
DeepStates [VR],0,1,90.40%,18056,2190
Now There Be Goblins,0,1,90.50%,16292,1260
OceanCraft,0,1,89.50%,11470,1710
Operencia: The Stolen Sun,3,6,79.30%,276000,13740
Grit Paintball,1,2,88.90%,5964,540
Gadgeteer,0,1,97.40%,39398,3420
Furious Seas,0,3,74.50%,97212,7050
Skyworld,0,2,79.50%,300000,12838
Eternal Starlight VR,0,1,94.80%,24431,1770
Boom 3D,123,168,87.10%,173000,13727
Blue Effect VR,0,1,80%,81971,7460
Aery VR - Calm Mind,0,0,100%,6138,930
Robinson: The Journey,0,4,54.50%,317000,18781
Distance,8,25,92.80%,3 400 000,234000
Laid-Back Camp - Virtual - Fumoto Campsite,0,1,90.20%,49143,3720
Trackmania® Turbo,3,22,66.30%,2 100 000,72993
Virtual Hunter,0,2,73.80%,27950,2400
Floor Plan: Hands-On Edition,0,1,92.40%,11987,3071
Floor Plan: Hands-On Edition,0,1,92.40%,11987,3071
SOMNI,0,1,74.70%,20501,2610
Horror Bar VR,0,1,75%,56557,4440
Lost: Find,10,21,88.70%,159000,57780
Blair Witch VR,0,3,69.20%,91143,4380
Among the Sleep - Enhanced Edition,2,16,87.80%,3 500 000,295000
Space Docker VR,0,1,97.30%,24331,2220
Trickster VR: Co-op Dungeon Crawler,0,4,85.60%,153000,17201
HoloBall,0,2,89.20%,236000,30410
Holoswitch,9,11,77.80%,24603,4740
Winds & Leaves,0,1,90.50%,11375,630
The Gallery - Episode 1: Call of the Starseed,0,1,83.60%,1 900 000,105000
DEATHWATCH,1,3,94.40%,13645,2670
ARMS DOLL,0,1,88.90%,7520,540
Unknightly,0,1,73%,65320,4968
Dungeon Escape VR,0,1,83%,18943,6259
Ice Lakes,3,16,85.50%,1 500 000,158000
The Atlas Mystery: A VR Puzzle Game,0,0,84.40%,15297,1350
Omega Pilot,0,1,82.60%,32284,2760
Paranormal Detective: Escape from the 80's,0,1,95.90%,16490,2190
Transference™,0,1,71.40%,233000,14902
Zombieland VR: Headshot Fever,0,1,89.20%,27885,1950
Kittypocalypse,0,1,88.50%,145000,11603
AFFECTED: The Manor - The Complete Edition,0,6,79.50%,37651,6088
SWORDS of GARGANTUA,0,3,60.40%,182000,12097
Operation Warcade VR,0,1,95.50%,142000,11516
The Quintessential Quintuplets OMOIDE VR ~ITSUKI~,1,1,90.50%,12328,630
Clash of Chefs VR,0,10,80.90%,53848,3930
POLYBIUS,0,3,93.50%,48088,4151
Mass Exodus Redux,0,1,77.30%,170000,19824
Shooty Fruity,0,4,89.80%,93854,6768
VR Battleship YAMATO,0,1,92.70%,122000,3878
House Flipper VR,0,3,51.90%,108000,7830
Shores of Loci,0,1,94.30%,17926,1590
Spacescape,0,2,81.30%,10163,2016
Fantastic Contraption,0,2,77.70%,3 000 000,109000
Smashbox Arena,0,21,92%,418000,24968
FORM,0,1,91.20%,201000,19114
Grapple Tournament,0,1,92.20%,98511,7650
KOBOLD: Chapter I,0,0,81.90%,34653,5833
IRON GUARD VR,0,2,96.40%,26113,2520
Space Channel 5 VR Kinda Funky News Flash!,0,1,93.50%,33538,1860
Conscious Existence - A Journey Within,0,2,87.80%,64962,20317
Gun World VR,1,4,68.20%,33310,3240
TOGETHER VR,0,3,65.50%,37589,4425
Escape First 3,1,5,63.20%,29064,5790
AGAINST,0,1,77.10%,103000,7980
Escape First 3,1,5,63.20%,29064,5790
Containment Initiative,1,3,89.10%,59775,10631
Aery VR - A Journey Beyond Time,0,1,96.80%,12107,1860
Paranormal Detective: Escape from the 90's,0,0,88%,12162,1500
AppGameKit Classic: Easy Game Development,5,7,83.10%,1 200 000,35412
Laid-Back Camp - Virtual - Lake Motosu,0,1,78.30%,128000,10110
Disassembly VR,1,1,56.40%,81708,3790
BAD DREAMS,0,2,85.70%,13188,1260
Tabletop Gods,0,0,89.70%,52148,3628
Fujii,0,1,94.70%,28874,2586
Tower Tag,3,24,89.60%,103000,8640
Nevrosa: Escape,0,1,80.70%,39737,3287
iB Cricket,1,5,95.50%,74514,3360
McOsu,108,202,89.20%,0,183000
Escape First 2,0,5,55.70%,39690,9135
Ironlights,0,1,78%,78727,5190
Chroma Lab,0,2,96.90%,48446,12519
Cosmic Trip,0,1,85.20%,267000,20368
DIY MY LADY IN VR WORLD,0,1,72.80%,16545,2760
Federation77,0,1,87.10%,6287,2790
Kitten'd,0,0,87%,26679,2391
BlazeRush,1,13,88%,653000,100000
Abode,0,1,92.10%,76561,10936
Wraith: The Oblivion - Afterlife,0,1,58.20%,36289,2040
Operation Armstrong,0,1,73.70%,9660,570
Crazy Kung Fu,0,1,93%,10739,1710
FPV SkyDive : FPV Drone Simulator,75,115,81.30%,0,22950
EXA: The Infinite Instrument,0,2,97.70%,31770,2700
DragonRideVR,0,1,89.80%,11283,1470
Yupitergrad 🚀(Virtual Reality Adventure),0,1,96.10%,33810,3060
DrumBeats VR,1,1,65.90%,28039,3816
Espire 1: VR Operative,0,3,52.90%,236000,10978
Afterlife VR,1,2,78%,42103,3960
GRID,40,72,68.20%,4 700 000,215000
Police Response VR : Disturbance,0,2,89.30%,9169,2550
Absolute Territory,0,1,80.80%,7507,780
House Flipper Pets VR,1,1,56.30%,7392,480
Cubism,0,0,100%,8904,1230
Loco Dojo,1,14,88.90%,70294,5222
Zombie Town VR,0,1,87.50%,2369,744
The Dark Method,0,0,87.50%,16590,990
Zombie Training Simulator,0,2,91.10%,493000,31994
Star Shelter,0,1,78.30%,137000,11672
Sword Reverie,0,1,68.40%,47167,3510
Boiling Steel,0,2,82.70%,127000,10740
Boiling Steel,0,2,82.70%,127000,10740
Timberman VR ,1,2,86.70%,1996,450
Orbital Strike VR,0,0,100%,4704,360
RFVR,1,2,82.50%,25702,1200
Windlands,1,2,77.40%,649000,46198
"Wakamarina Valley, New Zealand",0,0,81.50%,8782,2760
Zombie Buster VR,0,0,79.20%,11559,1110
The Gallery - Episode 2: Heart of the Emberstone,0,1,83.60%,257000,11794
A Rogue Escape,0,0,84.40%,13005,960
Final Approach,0,2,94%,522000,33541
Seeking Dawn,1,3,68.50%,552000,24663
VR GirlFriend,0,1,66.90%,59967,7493
Modbox,0,1,87%,129000,10733
The American Dream,0,0,68.80%,39130,2931
The Lab,23,51,95.10%,0,282000
Hell Road VR,0,1,86.80%,28006,2040
Don't Knock Twice,2,5,72.60%,330000,26913
Island Time VR,0,2,68.80%,24056,2243
Saber Fight VR,0,1,68.80%,45186,5100
SculptrVR,0,1,91.70%,68118,4815
Hover Junkers,0,1,63.10%,1 700 000,69776
Song in the Smoke,0,1,82%,35285,1500
Giant Cop: Justice Above All,0,0,73.70%,78201,4385
Traffic Jams,0,2,77.50%,27883,2130
Hop Step Sing! Kimamani☆Summer vacation (HQ Edition),0,0,96.90%,19230,3806
Doctor Who: The Edge Of Time,0,0,68.20%,125000,6600
Wands,0,0,54.70%,32552,2603
The Broken Seal,0,0,89.40%,129000,8863
SACRALITH : The Archer`s Tale,0,1,85.50%,49463,3687
Ghost Town Mine Ride & Shootin' Gallery,0,1,86.40%,152000,22242
SCP: Blackout,0,1,70.90%,77916,4973
Do U Copy?,0,1,76.20%,6564,660
VR: Vacate the Room (Virtual Reality Escape),0,0,84.80%,57440,16466
Puppet Fever,0,0,93.80%,11058,1233
Catan VR,0,2,74.20%,31474,3136
