game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
Albino Lullaby: Episode 1,0,1,70.40%,145000,18639
Pumpkin SculptrVR,0,0,87.50%,0,1440
Edmersiv,0,0,88.90%,0,1032
Delila's Gift,0,0,85%,0,918
Puppet Blaster,0,0,95.20%,0,714
Cures & Curios,0,0,93.80%,0,442
Hide & Spook: The Haunted Alchemist,0,0,91.90%,0,2118
Kitten Cannon,0,0,81.60%,0,2097
Experience: Colorblindness,0,0,92.90%,0,998
VR RHYTHM ACTION SEIYA,0,0,80.60%,20629,1445
Time Travelling Navy Seal Ninja Warrior,0,0,81.80%,3282,555
CasinoXR,0,0,64.30%,10822,1464
Caretaker Sacrifice,0,0,90%,1519,353
Blanket Heavy With Nightmares,0,0,87.80%,0,1392
Ropes And Dragons VR,0,1,83%,7585,2560
Unearthing Mars 2: The Ancient War,0,0,57.10%,9636,804
Arena: Blood on the Sand VR,12,45,55.30%,3168,1248
Sophie's Guardian,0,1,71.90%,2663,1885
Lucky Night: Texas Hold'em VR,0,0,79.30%,0,8513
TITAN SLAYER Ⅱ,0,0,71.10%,31494,1350
PaintLab,0,1,77.10%,0,1911
The Wire,0,0,75%,1946,1758
Don't Let Go!,0,0,66.70%,8017,3588
Woeful Woebots,0,0,66.70%,6303,768
RPG Merchant,0,0,68.40%,7584,815
Russian VR Coasters,0,4,61.80%,8124,1959
Key Of Impasse,0,0,85.20%,3782,2440
Beat the Beat Up!,0,0,91.70%,0,360
Fisticubes - One Button Boxing!,0,0,100%,960,330
Cartridge Monsters,0,0,81.30%,4950,480
Dead Herring VR,0,0,92.30%,0,390
CyberDrifter,0,0,85.70%,2875,370
Ludicrous Speed,0,1,81.80%,3150,990
Deadly Daycare VR,0,1,91.20%,0,1020
ABE VR,0,0,60.90%,0,17664
The Moonlight Circus,0,0,69%,0,870
Light Tracer (VR & NON-VR),0,0,93.80%,4828,454
Kongfusion,0,0,80.60%,9341,930
Cyphers Game VR,0,1,46.20%,0,390
Inhumanus,0,0,71.40%,9139,1098
RPG Merchant,0,0,68.40%,7584,815
BARRAGE / 铁幕,0,0,85.20%,6789,1944
Google Spotlight Stories: Rain or Shine,1,1,89.50%,0,2165
International Space Station Tour VR,0,1,84.50%,0,2396
Child Of Ault,0,0,82.20%,18076,2183
The Moonlight Circus,0,0,69%,0,870
Light of Mine,0,0,85.70%,720,543
CloudBound,0,0,84.10%,14550,2673
Lodestone -  The crazy cave adventures of mad Stony Tony and his encounter with the exploding rolling stones,0,1,84.80%,0,300
Dead Ground Arcade,1,3,85.70%,0,1260
Cyphers Game VR,0,1,46.20%,0,390
ABE VR,0,0,60.90%,0,17664
RAYGUN COMMANDO VR,1,1,84.40%,0,3763
Please State Your Name : A VR Animated Film,0,0,74.20%,0,3369
Dodge the Wall!,0,0,73.90%,0,661
DownStream: VR Whitewater Kayaking,0,0,91.50%,25138,1748
Google Spotlight Stories: Age of Sail,0,1,98.40%,0,16429
Show Must Go On,0,0,73.20%,14766,1825
Agence,0,0,59.10%,1453,660
Constricted VR,0,0,52.60%,557,706
The Path of Greatest Resistance,0,0,79.20%,6749,2633
Where Thoughts Go,0,0,93.10%,7408,998
VR Shooting Range: Multiple Weapons,0,0,66.70%,924,720
Harvest Simulator VR,0,0,58.30%,2604,533
Freefall,0,0,100%,2424,683
The Impossible Travel Agency,0,0,65.90%,9087,2379
Magician's Gambit,0,0,100%,3197,483
Reborn VR,3,7,79.10%,0,1320
Krusenstern: A Stellar Sail,0,1,71.40%,0,1050
DreamBack VR,0,0,79.20%,8694,720
Half-Life 2: VR Mod,75,114,97.90%,0,128000
RETNE,0,0,77.80%,0,2009
Mars Flight VR,0,0,72.70%,1902,330
The 18th Floor,0,0,51.50%,12745,1176
Everything Must Fall,0,0,94.10%,9680,878
Gates Of Nowhere,0,0,67.20%,20248,2144
SKYBOX VR Video Player,10,25,75.90%,151000,17180
Lost in the Rift - Reborn,0,0,83.70%,10039,2553
Anime show 动漫时装秀,0,0,56.50%,11589,934
Escape Bloody Mary,0,1,75%,17700,5907
Moonatees,0,0,91.70%,600,583
Angelus Brand VR Experience,0,0,92%,0,864
Gunship Battle2 VR: Steam Edition,0,0,53.80%,4670,583
BATTLESCAR: Punk Was Invented By Girls,0,0,52%,3096,750
ObserVRtarium,0,0,83.30%,0,560
Kokoda VR,0,0,85.70%,0,1768
The Curious Study of Dr. Blackwood:  A VR Tech Demo,0,0,84%,0,788
Oval,0,0,90.20%,26469,1615
SightLineVR,0,1,89.70%,440,1518
Chambered,0,0,82.90%,1207,442
Google Spotlight Stories: Back to the Moon,0,0,97.70%,0,1575
The Corridor: On Behalf Of The Dead,1,1,77.40%,10679,992
Home - A VR Spacewalk,1,3,71.10%,0,16534
SKYBOX VR Video Player,10,25,75.90%,151000,17180
Arca's Path VR,0,0,81.30%,7179,514
The Sniper VR,0,0,58.80%,13367,1655
The Night The Carsons Disappeared,0,0,64.30%,1570,1470
Apex Construct,0,1,72.30%,135000,7039
Metal Assault,0,0,69.20%,2150,583
Boiling Steel: Preface,1,1,76.80%,0,3420
Kanova,0,1,75%,0,2256
THE KNIGHT OF QUEEN,0,0,92.90%,1572,420
Special Delivery,0,0,60.90%,10299,1383
Football Nation VR Tournament 2018,0,1,55.20%,11335,1204
Escape Room,0,0,42.90%,464,588
Mosh Pit Simulator,0,1,77.30%,22069,1980
MOON BASE,3,3,54.70%,0,2250
KONGFU VR,0,0,63.60%,0,330
Mighty Monster Mayhem,0,1,72%,17375,1737
Puzzle Island VR,0,0,64.90%,5838,1110
Close Encounter VR,0,0,57.10%,2069,840
Horizon Beyond,0,1,89.20%,0,6160
Qbeh-1: The Atlas Cube,0,1,88.10%,210000,37583
Motorbike,1,1,60%,18555,3558
Milkyway Funland,0,1,47.40%,0,570
Dimension Hunter VR,0,1,81%,38659,4640
Show It 2 Me,0,0,98.40%,0,4938
Jeeboman,0,0,71.80%,50800,6804
RED CUBE VR,0,0,64.70%,23279,3595
TRESPASS - Episode 2,0,0,91.70%,8317,600
Space Merchants: Arena,0,0,69.60%,149000,36815
Qbeh-1: The Atlas Cube,0,1,88.10%,210000,37583
Crazy Saloon VR,0,0,69.20%,4285,608
One Of The Last,0,0,62%,17940,1767
Toon Ocean VR,0,0,64.30%,2880,813
Space Merchants: Arena,0,0,69.60%,149000,36815
Scraper: Gauntlet,0,0,96.30%,8369,810
PLAY'A VR  Video Player,10,24,61.60%,0,4004
Hindenburg VR,0,0,71%,12508,1303
Restaurant Simulator,0,0,69.20%,1438,390
Bowslinger,0,0,58.10%,18118,1893
Silent Mansion : Part2,0,0,73.30%,4173,930
Björk Vulnicura Virtual Reality Album,0,1,77.30%,14949,700
VR Baseball,0,1,77.40%,42591,6354
Google Spotlight Stories: Sonaria,0,0,78.90%,0,1568
Box: Boxing,0,0,72.70%,234,330
Bomb U!,0,0,85.50%,9340,2848
Pane In The Glass,0,0,61.80%,7210,2433
Meme Dragons,0,0,77.80%,4966,900
High clear VR,0,1,74.10%,33867,2563
Tea Party Simulator 2015™,2,2,68.70%,664000,99329
Range Day VR,0,0,53.60%,18331,1333
VRchaeology: Prologue,0,0,88.90%,0,2004
ZED,0,1,60.60%,66493,4656
Prisoner 518,0,0,80%,8016,900
IKEA VR Pancake Kitchen,3,4,70.20%,0,9221
Thunderballs VR,0,0,70%,0,300
VR Jetpack Game,0,1,80.40%,0,1380
Welcome to Chornobayivka VR,1,1,77.10%,0,2100
VR Ping Pong,0,2,78.80%,40263,8564
Starfighter: Infinity,0,3,90.60%,54951,3552
Angels & Demigods - SciFi VR Visual Novel,0,0,59%,0,5574
Progeny VR,0,0,80%,0,434
Strata inStudio VR,0,0,93.30%,0,643
Dement,0,0,71%,27120,930
MEDICALHOLODECK. Surgical Training and Medical Education in Virtual Reality.,2,2,74.40%,0,1500
鞭炮&烟花：春节模拟器Firecrackers&fireworks：china new year simulation,0,1,75.70%,2353,1110
God Of Arrows VR,0,0,76.20%,14343,2520
Opening Night at the Großen Schauspielhaus - Berlin 1927,0,0,92.30%,0,390
VRWorkout,0,0,90%,0,600
Noise,0,2,56.40%,12072,6601
Boxplosion,0,0,90.90%,2879,495
Homeward Duck,0,0,91.30%,0,766
New Zealand Virtual Debating Chamber,0,0,100%,0,780
No Way Out - A Dead Realm Tale,0,0,76.90%,12942,860
Virtual Gallery,0,0,91.70%,0,360
Tennis Arcade VR,0,0,73.30%,5962,930
Temple of the Apsara,0,0,72.50%,4800,3006
Worldy Cup,0,0,68.40%,4871,1086
Audio Arena,0,0,79.20%,12378,2611
MYRNEscapes,0,0,91.70%,0,360
Roomscale Coaster,0,1,57.10%,2624,983
Dead GroundZ,0,0,57.10%,13725,1050
Sing Together,0,1,69%,0,870
SpaBerry VR Experience,0,0,58.30%,0,394
Hypatia,0,0,68.10%,9599,1686
CYBER VR,0,0,56%,8484,992
BeanVR—The Social VR APP,0,0,42.60%,0,2088
The Art of Fight | 4vs4 Fast-Paced FPS,0,1,67.10%,165000,11073
SUM,0,0,79.20%,10098,902
Drums Hero,0,0,72%,55007,3859
VR SHOOT AROUND - Realistic basketball simulator -,0,0,81%,5850,1493
GizmoVR Video Player,16,19,66.80%,0,14340
Honor and Duty: D-Day,0,0,50%,2675,420
Crazy Machines VR,0,0,58.60%,11847,998
COMBAT INSTINCT,0,0,76.50%,3250,205
iOMoon,0,0,83.30%,24283,2106
Andromedum,0,0,68.80%,1435,906
TSA Frisky,0,0,54.80%,6064,1091
Ryte - The Eye of Atlantis,0,0,61.30%,10247,930
Fly Dangerous,2,4,77.40%,0,7980
VR Theme Park Rides,0,0,40%,4693,1433
Into the Rhythm VR,0,0,67.30%,30246,2197
SourVR Video Player,0,1,55.80%,0,2310
Viking Escape,0,0,70%,1095,573
Ancient VR coaster,0,0,54.20%,2361,1251
sphereFACE,0,0,96.40%,10086,1043
Sacred Four,0,0,78.60%,2068,610
PITCH-HIT ARCADE,0,0,82.60%,10387,1299
PITCH-HIT ARCADE,0,0,82.60%,10387,1299
Life of Lon: Chapter 1,0,0,72.10%,0,2065
Tale of the Fragmented Star: Single Fragment Version / 星の欠片の物語、ひとかけら版,0,0,75%,8975,575
SurrealVR,0,0,59.70%,0,4230
Sommad,0,0,81.80%,0,1403
Nanome,1,1,86.40%,2016,722
Tahko Alpine Ski,0,1,89.60%,0,1578
Mount Wingsuit,0,1,69.10%,72607,7702
One Dark Night,0,0,45.80%,0,5892
Orch Star,0,0,81.30%,14691,1266
Book Of Merlin,0,0,47.10%,4668,2040
sphereFACE,0,0,96.40%,10086,1043
Starway Fleet,0,0,67.90%,26099,3806
Music Inside: A VR Rhythm Game,0,0,69.80%,26942,2500
Kamile: The Fall,0,0,73.90%,2586,690
Battle Arena VR,0,0,76.90%,0,1560
TrumPiñata,0,0,52.20%,1104,1386
Unruly Ghouls,0,0,100%,4594,695
Amends VR,0,0,85.70%,0,630
Smash Party VR,0,0,91.50%,0,2610
BellyBots,0,0,81%,3777,680
Power Link VR,0,0,91.70%,1198,1311
Oblivion Tesseract VR,0,0,87.50%,1279,693
Beat the Blitz,0,1,89.30%,0,1042
Meet the Miner - WDR VR Bergwerk,0,0,82.20%,0,1325
Arkio,0,2,92.90%,0,870
ROM: Extraction,0,0,63.60%,54482,5200
Regenesis Arcade,0,0,72.70%,5360,862
Ripple Effect,0,0,67.20%,0,19358
Darkness Rollercoaster - Ultimate Shooter Edition,0,0,46.20%,2733,420
Lost in the Ocean VR,0,0,54.30%,9773,1615
Dark Legion VR,0,0,69.80%,44772,3151
2017 VR,0,3,68.70%,86876,6325
Three Quarters Space Station,0,0,66.70%,0,540
OneManVurgeR,0,0,72.70%,3424,660
VINDICTA,0,0,73.30%,57258,4278
The Rabbit Hole Remastered,0,0,52.40%,2456,831
Sort 'Em,0,0,76.90%,1301,605
Jida Chronicle Chaos frontier VR,0,0,58.30%,185,80
KART CHASER : THE BOOST VR,0,0,73.50%,12128,1729
Lander 8009 VR,0,0,75%,5519,555
Lander 8009 VR,0,0,75%,5519,555
RED: Lucid Nightmare,0,0,81%,7590,786
KART CHASER : THE BOOST VR,0,0,73.50%,12128,1729
READY AIM FIRE,0,0,44.40%,0,540
Dragon VR,0,2,67.30%,0,3030
Grid Clash VR,0,0,77.80%,2470,370
Qantas VR,0,0,57.10%,0,1077
Holoception,0,0,62.50%,33159,2082
SafeZoneVR,0,1,75.60%,0,1230
VRUSEUM,0,0,72.70%,0,2340
Barn Finders VR: The Pilot,0,0,70%,0,600
StellarX,2,2,85.70%,0,420
MermaidVR Video Player,0,5,72.40%,0,5598
Ready Player One: OASIS beta,0,2,59.70%,0,17797
TRESPASS - Episode 1,0,0,72.10%,37148,3660
John Lazarus - Episode 1: Dead Man's Origin,0,0,84.60%,3333,524
LUX SINE,0,0,77.80%,0,810
Naau: The Lost Eye,0,0,65.10%,19558,1290
Tractorball,0,0,65%,4328,648
A Story of Distress,0,0,47.40%,8492,714
Off-Road Paradise: Trial 4x4,0,0,63.20%,44883,4525
Gangsta Underground : The Poker,0,2,80.80%,0,1590
Aliens Attack VR,0,1,82.90%,0,1922
The Dawn of Art,1,2,94.50%,0,3810
Deer Man,0,0,71.50%,8154,5120
Zombie City,0,0,73.10%,2854,1109
VR Escape the space station,0,1,61.70%,17458,3498
Chiaro and the Elixir of Life,0,0,75%,34700,1546
Seena VR (Beta),0,0,66.70%,0,360
Virtually Impossible,0,0,60%,7665,838
Power Washer Hero,0,0,41.20%,1007,510
SCP-087 VR Survivor,0,0,61.50%,4666,412
Shadow of Valhalla,0,0,80%,15837,1080
KryptCrawler,0,0,40%,5670,1107
夕鬼 零 Yuoni: Rises,0,0,61.50%,3527,394
Iron Blood VR,0,0,64.30%,4306,420
Malzbie's Pinball Collection,1,3,77%,0,21015
Apex,0,0,75%,4156,1790
On Target VR Darts,0,0,41.70%,2388,360
"Orb Labs, Inc.",0,0,78.10%,1576,245
Treasure At The Top,0,0,63.60%,0,970
CoLab,0,0,50%,3623,906
Disney Movies VR,0,1,53.70%,0,11586
2MD: VR Football Evolution,0,0,86.80%,18808,2040
AudioBeats,0,0,79.20%,16265,2660
Warriors Of Titus - F2P,0,0,78.60%,0,420
Happy Drummer VR,0,0,85.70%,14402,2428
Eleven Eleven,0,0,91.70%,11644,924
Mind Labyrinth VR Dreams,0,0,72.20%,10985,595
My Lil' Donut,0,0,87.20%,0,2265
Thread Studio,0,0,93.30%,0,906
Icarus Six Sixty Six,0,0,88.20%,0,648
Arch Virtual HQ,1,1,90%,0,483
After Solitary,0,0,100%,0,692
Rapid Fire,0,1,92%,0,848
Trash Time,0,0,92.90%,0,1030
Ghost Productions: Wraith VR Total Knee Replacement Surgery Simulation,0,2,100%,0,1202
RelayCars,0,0,81.80%,0,314
The Hospital: Allison's Diary,0,0,47.40%,3828,860
A Very Bad Christmas Eve,0,0,47.80%,1680,690
Glitchspace,0,2,73.80%,110000,18357
Dungeon Rush,0,0,68.80%,2867,568
Lockdown: Stand Alone,0,0,57.10%,30800,2033
Dead Ground:Arena,0,0,72.70%,9677,844
DreamFly,2,2,68.60%,8513,2100
GIPHY Museum of GIF Art,0,0,95.80%,0,1073
A Wake Inn,0,0,62.80%,16291,1320
Evolution VR,0,1,79.70%,28789,5385
Mind Unleashed,0,0,58.80%,4172,2013
Blackjack Bailey VR,0,0,50%,3376,555
Directive Nine,0,0,68.20%,5099,660
Base Defense VR,0,0,41.20%,0,510
ViveSpray,0,0,65.80%,24132,4440
DUSTNET,0,0,84.60%,5294,1210
Vision Origin,0,0,57.10%,16554,1050
DOJAGI: The Korean Pottery,0,0,70%,13085,674
VR Robotics Simulator,0,0,100%,4152,390
Dinosaur Safari VR,0,0,47.60%,0,606
Discovr™ Egypt: King Tut's Tomb,0,0,58%,4988,11720
Space Ribbon - Slipstream to the Extreme,0,0,62.10%,14090,3040
VR Disc Golf,0,0,78.60%,4184,540
Emmerholt: Prologue,0,0,77.30%,0,4788
Mind Unleashed,0,0,58.80%,4172,2013
Vision Origin,0,0,57.10%,16554,1050
DOJAGI: The Korean Pottery,0,0,70%,13085,674
Emmerholt: Prologue,0,0,77.30%,0,4788
VirtualCast,11,39,77.70%,0,2446
Gravity Sketch,13,16,79.80%,111000,6173
Galactic Core: The Lost Fleet (VR),0,0,50%,5192,983
Squishies,0,0,81.80%,2867,330
TripSync,0,0,76.20%,0,630
Dinosaur Safari VR,0,0,47.60%,0,606
Discovr™ Egypt: King Tut's Tomb,0,0,58%,4988,11720
Submerged: VR Escape the Room,0,1,75.90%,3260,1076
Nevrosa: Spider Song,0,0,78.10%,1744,1122
ZombieFight VR,0,1,53.30%,44405,2955
Odyssey: The Deep Space Expedition,0,0,54.20%,5885,780
Virtual Space,0,1,61.50%,0,1725
BCI VR Horror Attraction: The Mad Trail,0,2,69.20%,0,390
Aim Lab VR,0,1,55%,0,3330
A Writer And His Daughter,0,0,80%,5659,888
CYBER JOLT (VR),0,0,47.40%,2595,3695
Steampuff: Phinnegan's Factory,0,0,79.20%,9595,1200
Kyiv: from dusk till dawn with Lenovo Explorer,0,0,72.70%,0,336
Fireworks Desert Blast,0,0,75.90%,0,1557
Faceted Flight,0,0,77.80%,5879,1377
VirZOOM Arcade,0,0,76.70%,0,18104
Shoot Mania VR: Fun Zombies,0,0,60.90%,3680,1186
Frontier VR,0,0,46.70%,1826,660
Thick Air,0,0,45.80%,8915,1757
Yore VR,0,0,42.50%,99498,8835
RevolVR 3,0,0,73.40%,41705,4650
Kinese,0,0,90%,0,414
Combat Tested,0,0,67.40%,47638,3315
Horrors of Space,0,0,65.80%,12128,1140
Spacetours VR - Ep1 The Solar System,0,0,67.70%,11214,1528
Power Solitaire VR,0,1,96.80%,899,1258
Beyond Power VR,0,0,50%,1938,630
Hammer & Anvil VR,0,0,59.30%,5481,1476
Ping Pong League,0,1,62.10%,0,3850
Beyond Power VR,0,0,50%,1938,630
Electrical Safety VR Training,1,2,66.70%,0,360
Power Solitaire VR,0,1,96.80%,899,1258
Hammer & Anvil VR,0,0,59.30%,5481,1476
#Archery,0,0,66.70%,16280,2337
Spellbound,0,0,79.20%,23036,1440
Battle Summoners VR Basic,0,0,72.30%,0,1629
Diorama No.3 : The Marchland,0,0,75%,11781,3528
I Hate Santa,0,0,82.40%,2228,993
Hoverboards VR,0,0,91.70%,574,666
Here & Elsewhere,0,0,80%,0,368
Indentured Servant,0,0,92.90%,0,574
Moonshot Galaxy™,0,0,63%,9944,2616
The Nest,0,0,62.50%,96368,12896
Sonic Hunter VR,0,0,66.70%,3403,720
ECHOES OF WAR: The Last Heartbeat,0,0,87.50%,3132,604
Tanks VR,0,0,65.40%,7565,945
Space Panic: Room Escape (VR),0,0,52.90%,3270,738
Legend of Dungeon,2,4,73.60%,717000,112000
Underture,0,0,80%,0,386
Blackbox,0,0,90%,0,434
Hot Pot VR,0,1,78.30%,7751,690
Playing God,0,0,55.60%,0,810
Space Ninja Simulator,0,1,61.90%,0,630
Singularity,0,0,50%,0,300
Yon Paradox,0,0,59.30%,6400,3078
Wrath of Loki VR Adventure,0,0,59%,1869,922
(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,0,0,66.70%,1032,705
Cyber Fight Challenge,0,0,47.40%,8640,1140
Hailstorm VR,0,0,70%,6984,955
The Backrooms Simulator,0,0,62.90%,1632,824
Holodaze,0,0,70%,1438,600
Toy Plane Heroes,0,0,80%,23387,2478
Lemuria: Lost in Space,0,0,60.90%,38858,5785
Eclipse --- Defending the motherland,0,0,50%,0,2811
Time Transit VR,0,0,76.70%,28200,1226
Front Defense: Heroes,1,8,68.30%,21963,3938
Probably Archery,0,2,45.10%,146000,44354
Revoke,0,0,70.80%,13853,906
Roost,0,0,62.50%,0,480
Marble Mountain,0,0,72.60%,28891,4006
In Orbit,0,0,70%,0,350
GE Neuro,0,0,73.20%,0,2277
Awaken,0,0,88.90%,28835,1350
War Online: Pacific,0,0,44.60%,0,2025
Hot-air VR Balloon trip over Russian Primorye,0,0,57.10%,0,630
Remnith,0,0,73.10%,8233,1255
Dragonflight,0,0,48.30%,38193,3679
Break Time!,0,0,63.60%,0,6100
Rescuties! VR,0,0,100%,10379,1822
Rosebaker's Icy Treats - The VR Iceman Sim,0,0,96%,1899,206
Roost,0,0,62.50%,0,480
The Ruins: VR Escape the Room,0,0,58.30%,6359,1688
HEXION,0,0,74.10%,7800,1179
Galactic Gallery,0,0,88%,5258,1093
Everyday Baseball VR,0,0,53.80%,4274,430
Unearthing Mars VR,0,0,65.50%,13218,1325
Potioneer: The VR Gardening Simulator,0,0,55.60%,4152,1059
Copter and Sky,0,0,66.10%,8170,3475
Lost Legends: The Pharaoh's Tomb,0,0,53.80%,1906,628
Trial of the Gods,0,0,58.30%,6560,479
FIRMA,0,0,86.70%,8516,819
Climbtime,0,0,61.90%,12210,11211
Sea Fishing Simulator,0,0,45.50%,2772,360
Sacred Siren,0,0,69.70%,0,835
Munch VR,0,0,71.10%,19051,1756
CAPCOM GO! Apollo VR Planetarium,0,1,84.50%,0,2652
Self-knowledge VR,0,0,80%,0,788
Exogen VR,0,1,90%,0,1191
CrisisActionVR,0,0,56%,13231,441
The IOTA Project,0,0,73.80%,0,3800
PlanetFate,0,0,87.50%,3810,933
Amigdala,1,4,70.50%,107000,22286
PaulPaul - Act 1,0,0,94.60%,0,1268
COG (Center Of Gravity),0,0,80%,1473,455
Morgan lives in a Rocket House in VR,0,0,93.20%,0,1885
Domain Defense VR,0,0,76.50%,4612,695
Conjuror's Eye,0,0,93.80%,343,478
Frosty Nights,0,1,77.80%,17511,5494
Fist of Physics,0,0,75.60%,17642,2358
Nighttime Terror VR: Dessert Defender,0,0,62.50%,5712,960
Kiya,0,0,87.50%,0,1791
Elemental Combat,0,1,84.40%,16512,1420
Regenesis Arcade Lite,0,0,68.20%,0,15569
Amigdala,1,4,70.50%,107000,22286
Regenesis Arcade Lite,0,0,68.20%,0,15569
Nighttime Terror VR: Dessert Defender,0,0,62.50%,5712,960
Sayonara Golden Days,0,0,98.80%,3162,2460
SteamHammerVR - The Rogue Apprentice,0,0,61.10%,41394,3327
Ahros: One Warrior Chronicle,0,0,50%,26128,1719
Metachromium,0,0,84.60%,0,390
Cricket Club,0,2,92%,47549,3704
Space Needle VR,0,0,44%,0,1098
StageX,0,0,83.30%,925,578
Reaping Rewards,0,0,58.30%,0,2800
Perspectives: Aleppo-Helsinki,0,0,67.90%,0,1198
MINE!,0,0,66.70%,0,683
Marius,0,0,56%,0,988
The Last Operator,0,0,66.70%,6220,804
Littlstar VR Cinema,0,1,57.10%,0,1524
INFINITI VR,0,0,66.70%,0,2800
Sketchfab VR,0,0,69.10%,0,3246
Boofle's Home,0,0,71.40%,0,965
Crowe: The Drowned Armory,0,0,77.80%,4361,576
Fly Destroyer,0,0,40%,200,644
VR Archeology: Secrets of Kulikovo Field,0,0,50%,0,480
Surgical Robot Simulator,1,2,60%,0,1800
Secrets Of Soil,0,0,85.40%,0,1440
Tomorrow,0,0,60.70%,0,1378
Virtual Army: Revolution,0,0,50%,9462,1004
VR Interior Designer Pro,0,0,72.70%,0,533
ShotForge,0,0,74.70%,0,3893
SpaceWalker,0,1,76.20%,0,808
CRAPPY ZOMBIE GAME,0,0,61.30%,1485,1596
MyDream,0,2,65.30%,36704,5442
Dark Threads,0,0,64%,4088,750
Reality Simulator,0,1,79.20%,0,720
Fight For Eden,0,0,53.30%,0,450
Shoot! VR,0,1,43.80%,0,480
Driver Booster 3 for STEAM,3,4,76.10%,0,34581
Clark | HOOVA VR,0,0,77.80%,0,774
The Steadfast VR Challenge,0,1,75%,2080,336
Amoreon NightClub,0,1,74.20%,0,2805
Hide & Crab,0,1,63.60%,0,330
Dash Dash Run!,0,0,76.90%,4565,515
Robert Rodriguez’s THE LIMIT: An Immersive Cinema Experience,0,0,60.60%,10668,2682
Cactus Cowboy 3 - Fully Loaded,0,0,88%,0,2250
StarPlayerVR,0,0,68.80%,5071,755
Fantasy Royal VR,0,0,50%,4644,660
Model Kit Simulator VR,0,0,61.50%,317,420
Echoes in White,0,0,50%,2085,390
Alcatraz: VR Escape Room,0,0,81.80%,7828,1899
StarPlayerVR,0,0,68.80%,5071,755
Astroderps,0,0,58.30%,6859,693
Sky Tower,0,0,66.70%,2679,720
Ancient Journey VR,0,0,45.50%,3860,353
Until None Remain: Battle Royale VR,0,0,31.60%,3798,1514
Hand to Hand Combat,0,0,44.40%,2027,529
Qbike: Cyberpunk Motorcycles,0,0,55.20%,21156,3328
Soundscape VR,0,1,69.60%,0,3613
Struggle For Survival VR : Battle Royale,0,0,57.10%,14092,917
Spell Fighter VR,0,1,68.60%,0,20648
Wrecked: Get Your Ship Together,0,0,69%,0,7125
Star Rangers VR - Free Demo,0,1,58.30%,0,1138
MultiVR.se,0,0,63.90%,0,1688
N.a.N Industry VR,0,0,94.10%,153,392
3dSunshine,0,0,85.70%,0,2595
KOTH,0,0,86.70%,3445,711
D.R.I.L.L.,0,0,84.60%,0,509
Calcflow,0,0,94.70%,2640,957
Breathe Peace World,0,0,89.50%,0,625
Sayonara Golden Days,0,0,98.80%,3162,2460
Limberjack,1,1,58.10%,0,7227
Drummer Talent VR,0,0,57.40%,25819,1731
My RC Buggy! VR,0,0,95.20%,719,905
Throttle Powah VR,0,0,79.20%,14333,2213
Cactus Cowboy 3 - Fully Loaded,0,0,88%,0,2250
Cricket Club,0,2,92%,47549,3704
ChessVR,0,0,73.30%,3599,1115
Crooked Waters,0,0,85%,6880,624
Chainless,0,0,100%,2110,843
Audio Forager,0,0,100%,0,466
LOST CAVE,0,0,89.50%,12029,760
BARDO,0,0,77.80%,4814,635
Nano Shift,0,0,81%,11590,1055
Kumoon : Ballistic Physics Puzzle,0,0,70.50%,24030,7300
EggTime 2,0,0,90%,4173,779
Trapped With the Dolls VR,0,1,79.20%,0,2169
Blobby Tennis,0,1,72.90%,0,14800
TEOT - The End OF Tomorrow,0,0,50%,801,322
Deep Blue 3D Maze in Space,0,0,64%,60588,31221
RollerCoaster Legends II: Thor's Hammer,0,0,61.10%,3046,648
TheNightfall,0,0,75%,30570,1652
BasementVR,0,0,65.20%,0,1359
Blobby Tennis,0,1,72.90%,0,14800
Hockey Player VR,1,1,61.20%,5518,1460
Face Your Demons,0,0,75%,649,584
TEOT - The End OF Tomorrow,0,0,50%,801,322
TheNightfall,0,0,75%,30570,1652
Ball Out,0,0,88.10%,4082,1290
Haunting Hour,0,2,64.30%,2118,506
Daylight's End VR Edition,0,0,42.90%,0,1680
RADtv,0,1,73.70%,9877,1320
WiseMind,0,0,73.30%,10205,728
The Purge Man,0,0,50%,7377,1200
PartyLine VR,0,0,50%,4181,385
BasementVR,0,0,65.20%,0,1359
Earthshakers,0,0,56.70%,0,1011
AVROD,0,0,53.80%,0,390
Cosmic Awakening VR,0,0,65.40%,4889,400
The Desert's Rose,0,0,40%,0,350
2020: THE RIDE,0,0,67.40%,0,1290
IKEA VR Experience,0,1,69.90%,0,17543
Alpha Locus VR,0,0,86.20%,0,1253
Cybershoes,1,1,90%,0,600
Evil Robot Traffic Jam HD,0,0,79.20%,7305,1140
Alpine Ski VR,0,0,58.60%,6117,1605
Gumball Drift,0,0,57.10%,14549,1152
Museum of Symmetry,0,0,95.20%,0,1910
SE VR World Demo,0,0,80.70%,0,1596
Lunar Stone - Origin of Blood,0,0,59.10%,32719,2922
Keep Balance VR,0,0,60%,358,455
Smackitball,0,0,56.30%,0,805
Vistascapes VR,0,0,51.40%,3908,2004
DUELEUM,0,0,61.10%,0,815
Somnium Space VR,1,2,51.30%,0,2430
VR Trivia Battle,0,0,57.70%,0,774
Amigo Fishing,1,1,40.50%,0,1280
ZhanDou (VR and Non-VR),0,0,60.70%,9143,1355
